#TITLE:Притяженья больше нет                              Минус + Бэк
#ARTIST:Виагра - Меладзе
#LANGUAGE:Russian
#CREATOR:Сергеем К.
#EDITION:Nikem
#VERSION:2.0.0
#UPDATE:05-02-2026:0.16
#MP3:М-Виагра Меладзе Притяженья больше нет.mp3
#VIDEO:Виагра Меладзе Притяженья больше нет.mp4
#BACKGROUND:Виагра Меладзе Притяженья больше нет2.jpg
#COVER:Виагра Меладзе Притяженья больше нет.jpg
#BPM:96
#GAP:23125
: -1 2 2 Да
: 1 1 2 вай
: 3 2 -1  ос
: 5 2 4 та
: 7 2 4 нем
: 9 1 4 ся
: 11 2 2  сво
: 13 2 4 бод
: 15 2 6 ны
: 17 4 6 ми
- 29
: 32 2 2 Шел
: 34 1 2 ка
: 36 1 -1  и
: 38 2 4  мас
: 40 1 4 ки
: 42 2 4  бро
: 44 1 2 сим
: 46 1 4  под
: 48 2 6  но
* 50 4 6 ги
- 61
: 64 1 7 И
: 66 1 7  пусть
: 68 1 7  в
: 70 2 7  мо
: 72 1 6 их
: 74 2 4  поступ
: 76 1 2 ках
: 78 1 2  не
: 80 2 4  бы
: 82 3 4 ло
: 86 2 1  ло
: 88 2 -1 ги
: 90 3 -3 ки,
- 94
: 96 1 6 Я
: 98 1 6  не
: 100 2 6  у
: 102 2 6 ме
: 104 1 4 ю
: 106 3 2  жить
* 110 4 -2  по
* 114 4 -2 -дру
: 118 4 -1 го
: 122 3 1 му
- 127
: 129 2 14 Да
: 131 1 14 вай
: 133 2 11  на
: 135 1 16 чнем
: 137 2 16  дви
: 139 2 16 жень
: 141 1 14 е
: 143 2 16  пер
: 145 2 18 вы
: 147 8 18 ми
- 159
: 161 2 14 Се
: 163 2 14 год
: 165 1 11 ня
: 167 1 16  я
: 169 2 16  сы
: 171 2 16 гра
: 173 1 14 ю
: 175 2 16  бе
: 177 2 18 лы
: 179 8 18 ми
- 192
: 194 1 19 А
: 196 1 19  ты
: 198 2 19  и
: 200 1 19 ди
: 202 2 18  впе
: 204 1 16 ред
: 206 2 14  сво
: 208 2 14 е
: 210 1 16 ю
: 212 4 16  до
: 216 2 13 ро
: 218 2 11 го
: 220 3 9 ю,
- 224
: 226 2 18 Спа
: 228 2 18 сай
: 230 1 18 ся
: 232 1 18  в
* 234 2 16  сумер
* 236 3 14 ках
: 240 4 10  тем
: 244 3 10 ных
: 248 4 11  ком
: 252 4 13 нат…
- 268
: 290 1 13 Сто
: 292 2 13  ша
: 294 1 13 гов
: 296 2 11  на
: 298 4 11 зад,
- 304
: 306 2 10 Ти
: 308 1 10 хо
: 310 1 10  на
: 312 4 11  паль
: 316 3 11 цах
: 320 2 11  ле
* 322 1 13 ти,
* 324 2 13  мо
* 326 1 13 я
: 328 2 11  ду
: 330 4 11 ша,
- 336
: 338 1 10 Не
: 340 2 10  ос
: 342 2 10 та
: 344 4 11 вай
: 348 3 11 ся
- 352
: 354 1 16 Сто
: 356 2 16  ша
: 358 1 16 гов
: 360 2 14  на
: 362 4 14 зад,
- 375
* 378 2 9 При
* 380 2 11 тя
* 382 2 13 жень
* 384 2 14 я
: 387 5 13  боль
: 392 4 14 ше
: 398 4 6  нет
- 408
: 419 1 13 Сто
: 421 2 13  ша
: 423 1 13 гов
: 425 2 11  на
: 427 4 11 зад,
- 433
: 435 2 10 Ти
: 437 1 10 хо
: 439 1 10  на
: 441 3 11  паль
: 445 3 11 цах
: 449 2 11  ле
: 451 1 13 ти,
: 453 2 13  мо
: 455 1 13 я
: 457 2 11  ду
* 459 4 11 ша,
- 465
: 467 1 10 Не
: 469 2 10  ос
: 471 2 10 та
: 473 4 11 вай
: 477 3 11 ся
- 481
* 483 1 16 Сто
: 485 2 16  ша
: 487 1 16 гов
: 489 2 14  на
* 491 4 14 зад,
- 501
: 508 2 9 При
: 510 2 11 тя
: 512 2 13 жень
: 514 1 14 я
* 516 5 13  боль
: 522 5 14 ше
: 528 4 6  нет
- 538
: 540 2 9 При
: 542 2 11 тя
: 544 2 13 жень
: 546 1 14 я
: 548 4 13  боль
: 554 4 14 ше
: 560 4 7  нет
- 570
: 582 2 14 На
: 584 1 14 зад
: 586 1 11  от
: 588 2 16  праз
: 590 2 16 дни
: 592 1 16 ков
: 594 1 14  ко
: 596 2 16  втор
: 598 2 18 ни
: 600 8 18 кам
- 613
: 615 2 14 На
: 617 1 14 зад
* 619 1 11  от
: 621 2 16  фи
: 623 2 16 ни
: 625 1 16 ша
* 627 1 14  к
: 629 2 16  исход
: 631 2 18 ни
: 633 8 18 кам
- 645
: 647 1 7 И
: 649 1 7  пусть
: 651 1 7  в
: 653 2 7  мо
: 655 1 6 их
* 657 2 16  поступ
* 659 1 14 ках
* 661 1 14  не
* 663 2 16  бы
: 665 2 4 ло
: 669 2 13  ло
: 671 2 11 ги
: 673 3 9 ки,
- 677
: 679 1 6 Я
: 681 1 6  не
: 683 2 6  у
: 685 2 6 ме
: 687 1 4 ю
: 689 3 2  жить
: 693 4 -2  по-
: 697 4 -2 дру
: 701 4 -1 го
: 705 4 1 му
- 715
: 726 1 13 Сто
: 728 2 13  ша
: 730 1 13 гов
: 732 2 11  на
: 734 4 11 зад,
- 740
: 742 2 10 Ти
: 744 1 10 хо
: 746 1 10  на
: 748 3 11  паль
: 752 3 11 цах
: 756 2 11  ле
: 758 1 13 ти,
: 760 2 13  мо
: 762 1 13 я
: 764 2 11  ду
: 766 4 11 ша,
- 772
: 774 1 10 Не
: 776 2 10  ос
: 778 2 10 та
* 780 3 11 вай
: 784 4 11 ся
- 789
: 791 1 16 Сто
: 793 2 16  ша
: 795 1 16 гов
: 797 2 14  на
: 799 4 14 зад,
- 812
: 815 2 9 При
: 817 2 11 тя
: 819 2 13 жень
: 821 2 14 я
: 824 3 1  боль
: 829 5 2 ше
: 835 4 6  нет
- 845
: 855 1 13 Сто
: 857 2 13  ша
: 859 1 13 гов
: 861 2 11  на
: 863 4 11 зад,
- 869
: 871 2 10 Ти
: 873 1 10 хо
: 875 1 10  на
: 877 3 11  паль
: 881 3 11 цах
: 885 2 11  ле
: 887 1 13 ти,
: 889 2 13  мо
: 891 1 13 я
: 893 2 11  ду
: 895 4 11 ша,
- 902
: 904 1 10 Не
: 906 2 10  ос
: 908 2 10 та
: 910 4 11 вай
: 914 3 11 ся
- 918
* 920 1 16 Сто
* 922 2 16  ша
: 924 1 16 гов
: 926 2 14  на
: 928 4 14 зад,
- 941
: 944 2 9 При
: 946 2 11 тя
: 948 2 13 жень
: 950 2 14 я
* 953 4 13  боль
* 958 5 14 ше
* 964 4 6  нет
- 974
: 977 2 -3 При
: 979 2 -1 тя
: 981 2 1 жень
: 983 2 2 я
: 985 4 1  боль
: 991 4 2 ше
: 997 8 -5  нет
- 1017
: 1146 1 13 Сто
: 1148 2 13  ша
: 1150 1 13 гов
: 1152 2 11  на
: 1154 5 11 зад,
- 1160
: 1162 2 10 Ти
: 1164 1 10 хо
: 1166 1 10  на
: 1168 3 11  паль
: 1172 4 11 цах
: 1177 2 11  ле
: 1179 1 13 ти,
: 1181 2 13  мо
: 1183 1 13 я
* 1185 2 11  ду
* 1187 4 11 ша,
- 1193
: 1195 1 10 Не
: 1197 2 10  ос
: 1199 2 10 та
: 1201 3 11 вай
: 1204 4 11 ся
- 1209
* 1211 1 16 Сто
* 1213 2 16  ша
